text,text_clean
"jangankan sing pertalite, aku sing ngisi pertamax lakok budal nang bengkel, padahal sebelume ngisi shell baik2 aja lakok diisi si merah brebet gaiso dinyalakno jare mas e karena bahan bakar e yo elek","['sing', 'pertalite', 'sing', 'ngisi', 'pertamax', 'lakok', 'budal', 'nang', 'bengkel', 'sebelume', 'ngisi', 'shell', 'aja', 'lakok', 'isi', 'si', 'merah', 'brebet', 'gaiso', 'dinyalakno', 'jare', 'mas', 'e', 'bahan', 'bakar', 'e', 'yo', 'elek']"
trus sing bener kudu isi bensin opo guyss?? pliss mene wayah e tuku bensin soale,"['trus', 'sing', 'bener', 'kudu', 'isi', 'bensin', 'opo', 'guyss', 'please', 'mene', 'wayah', 'e', 'tuku', 'bensin', 'soale']"
"yg motornya karbulator rpmnya jadi ga stabil. alhasil berangkat kuliah pas di lampu merah jalanan merr mati dongg mesinnya💀. bayangin di bel orang"" di belakang aku ga kira"" ngebelnya","['motor', 'karbulator', 'rpmnya', 'tidak', 'stabil', 'alhasil', 'berangkat', 'kuliah', 'pas', 'lampu', 'merah', 'jalan', 'merr', 'mati', 'dongg', 'mesin', 'bayangin', 'bel', 'orang', 'tidak', 'ngebelnya']"
pertamina sekarang lagi budek mbak. kebanyakan untung,"['pertamina', 'budek', 'mbak', 'banyak', 'untung']"
"indonesia gaada semacam hukuman yang bikin beneran takut/mengekang membahayakan nyawa koruptor ya wajar makin², itu lagi abisin kekayaan indo sebelum periode abis, pinter si, selagi uu perampasan aset atau hukuman mati gaada ya bakal gini terus sampe ratusan tahun kedepan","['indonesia', 'gaada', 'hukum', 'beneran', 'takutmengekang', 'bahaya', 'nyawa', 'koruptor', 'ya', 'wajar', 'makin', 'abisin', 'kaya', 'indo', 'periode', 'abis', 'pinter', 'si', 'selagi', 'uu', 'ampas', 'aset', 'hukum', 'mati', 'gaada', 'ya', 'gin', 'sampe', 'ratus', 'depan']"
"mbaa aku vario yo ngisi pertamax terus, tp belakangan brebet brebet ancene bahlil bahlul","['mbaa', 'vario', 'yo', 'ngisi', 'pertamax', 'brebet', 'brebet', 'ancene', 'bahlil', 'bahlul']"
Prabowo kok diem aja?,"['prabowo', 'diem', 'aja']"
menyebalkan🗿,['sebal']
"review dari aku yg motornya kebagian brebet hari ini :
- isi bensin hari minggu tgl 26, isi pertalite full (motorku pcx)
- senin sampe kamis pagi buat kerja masih oke
- kamis sore mulai kerasa gas nya tbtb turun sendiri (strip bensin masih sisa 4)
- jumat pagi buat kerja masih aman dikit, tp gas motor bolak balik turun
- damnnn, jumat sore makin parah. kecepatan 20 normal, 30 keatas udah kek motor keabisan bensin😫😫","['review', 'motor', 'bagi', 'brebet', 'isi', 'bensin', 'minggu', 'tanggal', 'isi', 'pertalite', 'full', 'motor', 'pcx', 'senin', 'sampe', 'kamis', 'pagi', 'kerja', 'oke', 'kamis', 'sore', 'rasa', 'gas', 'tbtb', 'turun', 'strip', 'bensin', 'sisa', 'jumat', 'pagi', 'kerja', 'aman', 'dikit', 'gas', 'motor', 'bolak', 'turun', 'damnnn', 'jumat', 'sore', 'parah', 'cepat', 'normal', 'atas', 'kek', 'motor', 'abis', 'bensin']"
yg pasti pasti aja,['aja']
untuk sementara aku tuku bensin eceran sek😭,"['tuku', 'bensin', 'ecer', 'sek']"
salam satu keropos🤣,"['salam', 'keropos']"
kenapa kebanyakan yg troble honda?,"['banyak', 'troble', 'honda']"
aku pake pertamax turbo🙏🏻,"['pake', 'pertamax', 'turbo']"
anjir aku baru isi pertamax turbo motor vario lawas smoga amaaan😭😭😭,"['anjir', 'isi', 'pertamax', 'turbo', 'motor', 'vario', 'lawas', 'smoga', 'amaaan']"
kejadian kapan?,['jadi']
semangat rin....,"['semangat', 'rin']"
Vario 110cc ku terpantau aman 🙈🙈 .. ini harus ku lanjut pertalite apa ganti apa ini,"['vario', 'cc', 'ku', 'pantau', 'aman', 'ku', 'pertalite', 'ganti']"
"pertamina ganti rugi gak yaa
misal bbm gratis 5th gitu","['pertamina', 'ganti', 'rugi', 'tidak', 'yaa', 'bbm', 'gratis', 'th', 'gitu']"
ngisi nk pom ndi mbk,"['ngisi', 'nk', 'pom', 'ndi', 'mbk']"
"pegawai Pertamina nerimo gaji tok, wayah ruwet ngene bisu Kabeh pret","['pegawai', 'pertamina', 'nerimo', 'gaji', 'tok', 'wayah', 'ruwet', 'ngene', 'bisu', 'kabeh', 'pret']"
daerah ndi mbk?,"['daerah', 'ndi', 'mbk']"
enak e isi opo rek.. seriuss,"['enak', 'e', 'isi', 'opo', 'rek', 'seriuss']"
di ISO es teh,"['iso', 'es', 'teh']"
"brebet brebet , tengah dalan moro² mati bahlil mbokneambleg ancenn","['brebet', 'brebet', 'dal', 'moro', 'mati', 'bahlil', 'mbokneambleg', 'ancenn']"
"sama mbk aku juga, motorku aja baru 3bulan beli udh brebet pdhl sebelumnya aman ternyata sama pas di tap dibawah ada cairan bening dibawah gitu","['mbk', 'motor', 'aja', 'beli', 'brebet', 'pdhl', 'aman', 'pas', 'tap', 'bawah', 'cair', 'bening', 'bawah', 'gitu']"
haha motorku sek ket seminggu grg metu plat e wes bosok,"['motor', 'sek', 'ket', 'minggu', 'grg', 'metu', 'plat', 'e', 'wes', 'bosok']"
YA ALLAH TERNYATA GA CUMAN AK YAA TIAP BRANGKAT KRJA NDEREDEG GAS MOTOR TBTB TURUN KY MAU MOGOK DI TENGAH JALAN PARNO BGT TAKUT DI TABRAK DR BLAKANG😭,"['ya', 'allah', 'tidak', 'cuman', 'ak', 'yaa', 'brangkat', 'krja', 'nderedeg', 'gas', 'motor', 'tbtb', 'turun', 'ky', 'mogok', 'jalan', 'parno', 'takut', 'tabrak', 'blakang']"
sumpah kudu tak pisui pedaku pisann 😭,"['sumpah', 'kudu', 'pisui', 'peda', 'pisann']"
gue pakai Pertamax juga ngegas gak enak banget,"['pakai', 'pertamax', 'ngegas', 'tidak', 'enak', 'banget']"
iki enak e tuku bensin opo rek 😫 pertamax t pertalit,"['iki', 'enak', 'e', 'tuku', 'bensin', 'opo', 'rek', 'pertamax', 't', 'pertalit']"
"yuk yang bilang ""siapapun presiden atau pejabatnya gak ngaruh ke kehidupan kita"" mulai melek lagi yuuukk","['yuk', 'bilang', 'presiden', 'jabat', 'tidak', 'ngaruh', 'hidup', 'melek', 'yuuukk']"
"ges, coba isi di pom jemursari deket rsi, itu pom pemerintah kode 51 gak kecampur air. kode selain 51 kasus bgt campur air","['ges', 'coba', 'isi', 'pom', 'jemursari', 'deket', 'rsi', 'pom', 'perintah', 'kode', 'tidak', 'campur', 'air', 'kode', 'campur', 'air']"
"naudzubillah ojok sampe beat karbu kesayanganku mogok ya Allah 😭 tak Eman poll tak isi partamax dri dulu. Alhamdulillah masih aman, mugo SPBU sepanjang g aneh aneh 🤲","['naudzubillah', 'ojok', 'sampe', 'beat', 'karbu', 'sayang', 'mogok', 'ya', 'allah', 'eman', 'poll', 'isi', 'partamax', 'dri', 'alhamdulillah', 'aman', 'mugo', 'spbu', 'tidak', 'aneh', 'aneh']"
mbak beat racingku yo melu trend e bahlil yaampunn iki sek durung ta gowo nde bengkel😭,"['mbak', 'beat', 'racingku', 'yo', 'melu', 'trend', 'e', 'bahlil', 'yaampunn', 'iki', 'sek', 'durung', 'ta', 'gowo', 'nde', 'bengkel']"
benkel🤝bahlil,['benkelbahlil']
IDEKU BAGUS KAN ? 🤣,"['ide', 'bagus']"
tolong lahh woyyy BP sama Shell adain lagi sumpah isi pertamax boros minta ampun masa isi fulltank cuman dari rumah ke kampus ngurangin 2 bar,"['tolong', 'lahh', 'woyyy', 'bp', 'shell', 'adain', 'sumpah', 'isi', 'pertamax', 'boros', 'ampun', 'isi', 'fulltank', 'cuman', 'rumah', 'kampus', 'ngurangin', 'bar']"
bahlil: 😹,['bahlil']
Kok Bisa?Sumpah Gw heran!!,"['bisasumpah', 'heran']"
"Oh ini, LAPANGAN PEKERJAAN DI BENGKEL 🗿😭🙏 YAKIN BISA 19 JT😭","['oh', 'lapang', 'kerja', 'bengkel', 'jt']"
reaksi gw😭,"['reaksi', 'gw']"
"bahlil cerdas, buat para bengkel dapat pelanggan. buat indonesia makin maju","['bahlil', 'cerdas', 'bengkel', 'langgan', 'indonesia', 'maju']"
turbo kena oplos juga,"['turbo', 'kena', 'oplos']"
bahlil : loh saya gatau habis rapat,"['bahlil', 'loh', 'tidak', 'habis', 'rapat']"
"jgn2 pertalite dibuat jelek supaya pengendara beralih ke pertamax😂😂😂biar untung nya lebih gede, dan plotwistnya sama aja kualitas nya😂😂😂😂cuman gak ngantri aja","['jgn', 'pertalite', 'jelek', 'kendara', 'alih', 'pertamaxbiar', 'untung', 'gede', 'plotwistnya', 'aja', 'kualitas', 'nyacuman', 'tidak', 'ngantri', 'aja']"
udah bener² ada shell ehh bahlil malah nutup shell jadi curiga😒,"['bener', 'shell', 'ehh', 'bahlil', 'nutup', 'shell', 'curiga']"
brarti motornya ngelag ngelag,"['brarti', 'motor', 'ngelag', 'ngelag']"
capek bnget hidup di indonesia,"['capek', 'bnget', 'hidup', 'indonesia']"
kirain motor gw doang🗿,"['kirain', 'motor', 'doang']"
tau lah ya pelakunya siapa,"['ya', 'laku']"
"jadi PNGN buka bekel, makasih pak Bahlil udh kasih kerjaan","['pngn', 'buka', 'bekel', 'makasih', 'bahlil', 'kasih', 'kerja']"
bahas tentang sudan bang,"['bahas', 'sudan', 'bang']"
"berarti daerah situ yg GK bener Pertamina nya , soalnya disini aman aja tu","['daerah', 'situ', 'tidak', 'bener', 'pertamina', 'aman', 'aja', 'tu']"
brrti tujuan bahlil buat mekanik motor banjir cuan😨,"['brrti', 'tuju', 'bahlil', 'mekanik', 'motor', 'banjir', 'cuan']"
Bahlil b ny ap,"['bahlil', 'b', 'ap']"
gw korban nya jir 🗿,"['korban', 'jir']"
"ini antara bagus atau ngga
bagusnya tukang bengkel dpet bnyk duit
ngga nya karena pengendara bayar lagi buat bengkel
inilah yang di namakan yin dan yang🗿","['bagus', 'tidak', 'bagus', 'tukang', 'bengkel', 'dpet', 'bnyk', 'duit', 'tidak', 'kendara', 'bayar', 'bengkel', 'nama', 'yin']"
Sama mtorku jg skrang mulai brebet pdahal kmrin² nggak,"['mtorku', 'skrang', 'brebet', 'pdahal', 'kmrin', 'tidak']"
"Pertamina💀
bengkel🤑","['pertamina', 'bengkel']"
"jangan nanti ada yang bilang ""siapa tau tujuan sebenarnya pak bahlil campur bahan bakar dengan etanol itu sebenarnya sengaja biar motor cepet rusak jdi tukang bengkel banjir job dan banyak dapat rezeki"" 😌🫵🏻","['jangan', 'bilang', 'tuju', 'bahlil', 'campur', 'bahan', 'bakar', 'etanol', 'sengaja', 'motor', 'cepet', 'rusak', 'tukang', 'bengkel', 'banjir', 'job', 'rezeki']"
bahlil dendam tu kemaren mukanya di buat meme soalnya🗿🗿,"['bahlil', 'dendam', 'tu', 'kemaren', 'muka', 'meme']"
bro motor kredit gw baru beli 1 bulan yg lalu malah brebet ya ampun🤰,"['bro', 'motor', 'kredit', 'beli', 'brebet', 'ya', 'ampun']"
kangen Indonesia normal,"['kangen', 'indonesia', 'normal']"
"pertamax sama aja, justru awal masalah di pertamax baru merembet ke pertalite, lih bahlil","['pertamax', 'aja', 'pertamax', 'rembet', 'pertalite', 'lih', 'bahlil']"
"gue isi pertamax sama aja bang, ngelag juga","['isi', 'pertamax', 'aja', 'bang', 'ngelag']"
"Shell g ad barang, pertamina ad barang tapi ngrusak mesin","['shell', 'tidak', 'ad', 'barang', 'pertamina', 'ad', 'barang', 'ngrusak', 'mesin']"
pertamax yo rusak? trus diisi opo iki 😭,"['pertamax', 'yo', 'rusak', 'trus', 'isi', 'opo', 'iki']"
"mosok y paling aman sepeda listrik😌 sak iki ngisi bensin ae ya di jaajah,tinggal ndek konoha kok g nyaaman bgt y😭 rakyat kecil menderita😌 kagak bisa bayangin kasian yg punya motor jadul apalagi gojek gojek 😭","['mosok', 'y', 'aman', 'sepeda', 'listrik', 'sak', 'iki', 'ngisi', 'bensin', 'ae', 'ya', 'jaajahtinggal', 'ndek', 'konoha', 'tidak', 'nyaaman', 'y', 'rakyat', 'derita', 'kagak', 'bayangin', 'kasi', 'motor', 'jadul', 'gojek', 'gojek']"
pertamina sakjane isok kerja sing bener gak sehhhh,"['pertamina', 'sakjane', 'isok', 'kerja', 'sing', 'bener', 'tidak', 'sehhhh']"
"iki sue"" indonesia lomba dorong""an motor","['iki', 'sue', 'indonesia', 'lomba', 'dorong', 'motor']"
"iki kyake perang dagang pertamina dan swasta
tapi banyak antek"" swasta yg kerja di pertamina
jadi mudah untuk mengsabotase wkwkwk","['iki', 'kyake', 'perang', 'dagang', 'pertamina', 'swasta', 'antek', 'swasta', 'kerja', 'pertamina', 'mudah', 'mengsabotase']"
Gitu itu pegawainya pertamina sendiri motornya pada kena juga gasi?,"['gitu', 'pegawai', 'pertamina', 'motor', 'kena', 'gas']"
"mbak, sama bgt.
aku ganti pakek indomobil karena di kota ku adanya cuma itu, dan losss bgt ga rewel udah, tapi sebelum itu ke bengkel dulu ya kak, dikuras pertalite nya. trus bawa bahan bakar selain yg dari Pertamina ke bengkel biar langsung diisi. soalnya punya ku abis dari bengkel disini pertalite lagi nyatanya sama aja brebet meskipun ga separah yg pertama.","['mbak', 'ganti', 'pakek', 'indomobil', 'kota', 'ku', 'losss', 'tidak', 'rewel', 'udah', 'bengkel', 'ya', 'kak', 'kuras', 'pertalite', 'trus', 'bawa', 'bahan', 'bakar', 'pertamina', 'bengkel', 'langsung', 'isi', 'ku', 'abis', 'bengkel', 'pertalite', 'aja', 'brebet', 'tidak', 'parah']"
"beat street punya suami jg brebet"" abis beli bensin di apbu arjuno 😭","['beat', 'street', 'suami', 'brebet', 'abis', 'beli', 'bensin', 'apbu', 'arjuno']"
gua save vidionya..biar bisa tembus ke penyelidikan 👍🏻,"['gua', 'save', 'vidionyabiar', 'tembus', 'lidi']"
"kata kata andalan ""businya itu""","['andal', 'busi']"
rakyat terzolimin bgt ini😔. bahlil dan jajarannya yg bikin kebijakan bbm di oplos etanol semoga azab dunia akhirat buat kalian,"['rakyat', 'terzolimin', 'bahlil', 'jajar', 'bijak', 'bbm', 'oplos', 'etanol', 'moga', 'azab', 'dunia', 'akhirat']"
"kerjaan bahlil muridnya mulyono, agar rakyat pindah ke motor listrik yg kaya perusahan baterai opung dan mulyonoi","['kerja', 'bahlil', 'murid', 'mulyono', 'rakyat', 'pindah', 'motor', 'listrik', 'kaya', 'usah', 'baterai', 'opung', 'mulyonoi']"
WINGINANE ONOK SING KOMEN.. JARE BOJONE MEH KETABRAK TRUK GORO GORO MACET NDE TENGAH DALAN... ANCENE PERTAMINA DLOGOKKKKK,"['winginane', 'onok', 'sing', 'komen', 'jare', 'bojone', 'meh', 'tabrak', 'truk', 'goro', 'goro', 'macet', 'nde', 'dal', 'ancene', 'pertamina', 'dlogokkkkk']"
Yaampun kasian bgt sampe gajadi kuliah..bayangkan kl motornya dibuat nyari nafkah😭,"['yaampun', 'kasi', 'sampe', 'gajadi', 'kuliahbayangkan', 'kl', 'motor', 'nyari', 'nafkah']"
pokoke sheell bukaen onokno bbm e. pemerintah ikiloh duuhhhh,"['pokoke', 'sheell', 'bukaen', 'onokno', 'bbm', 'e', 'perintah', 'ikiloh', 'duuhhhh']"
"gini kak maksudnya? ini motorku aku tap, aku bawa ke bengkel habis 350rb pdhl gaji sebulan ga seberapa🙂","['gin', 'kak', 'maksud', 'motor', 'tap', 'bawa', 'bengkel', 'habis', 'rb', 'pdhl', 'gaji', 'bulan', 'tidak']"
dibahlulkan oleh negara😭,"['dibahlulkan', 'negara']"
"perusahaan monopoli kok rugi, berarti yg mengelola kebanyakan korup.","['usaha', 'monopoli', 'rugi', 'kelola', 'banyak', 'korup']"
"Percuma ada UU perlindungan konsumen, soalnya gk berlaku buat pertamina. Krna pertamina kualitas terbaik","['uu', 'lindung', 'konsumen', 'tidak', 'laku', 'pertamina', 'krna', 'pertamina', 'kualitas', 'baik']"
Indonesia itu ada-ada aja ndak kasihan rakyat,"['indonesia', 'adaada', 'aja', 'tidak', 'kasihan', 'rakyat']"
pertamina gini ini ngaku rugi mulu 🗿,"['pertamina', 'gin', 'ngaku', 'rugi', 'mulu']"
otw pertamax terus,"['otw', 'pertamax']"
bekasi udah kebagian brebetnya😭,"['bekas', 'bagi', 'brebetnya']"
kira2 salah siapa yaa,"['salah', 'yaa']"
KAPAN INDO NORMAL YA ALLAH 😭,"['indo', 'normal', 'ya', 'allah']"
"bahlil berencana bengkel banyak pelanggan dan akhirnya ekonomi maju
sebenarnya bahlil itu pahlawan di balik hytam 🗿","['bahlil', 'rencana', 'bengkel', 'langgan', 'ekonomi', 'maju', 'bahlil', 'pahlawan', 'hytam']"
motor gw sama💔💔💔💔,['motor']
kalo pertamax gmn,"['pertamax', 'gmn']"
kenapa rata rata motor honda ya....,"['motor', 'honda', 'ya']"
gua baru aja ngalamin,"['gua', 'aja', 'ngalamin']"
jatim ini emg problematik ya,"['jatim', 'problematik', 'ya']"
motor gua udh nggk bisa pertalite skrng,"['motor', 'gua', 'nggk', 'pertalite', 'skrng']"
"aku juga kena 😭, btw -1cwo hyper🥺","['kena', 'btw', 'cwo', 'hyper']"
motor gw juga kena anjj,"['motor', 'kena', 'anjj']"
pertamax juga sama bnag,"['pertamax', 'bnag']"
selain dipertamina kita bisa beli Bensin dmna ya?,"['dipertamina', 'beli', 'bensin', 'dmna', 'ya']"
"motor w abis jatoh kmren, rusak dan mesin nya emg ada yg salah, trus w servis abis 400k, normal dah seminggu, abis tu kok brebet, w bingung apa prasaan w aja, berhari2 kepikiran, belom sempet kebengkel juga, apa jangan2 gegara pertalite ya jir soalnya seminggu abis service udh enak bat pdhl motonya, jdi takut
lokasi: mojokerto - jatim","['motor', 'abis', 'jatoh', 'kmren', 'rusak', 'mesin', 'salah', 'trus', 'servis', 'abis', 'normal', 'minggu', 'abis', 'tu', 'brebet', 'bingung', 'prasaan', 'aja', 'hari', 'pikir', 'bom', 'sempet', 'bengkel', 'jangan', 'gegara', 'pertalite', 'ya', 'jir', 'minggu', 'abis', 'service', 'enak', 'bat', 'pdhl', 'moto', 'takut', 'lokasi', 'mojokerto', 'jatim']"
gw kira motorku doang😭,"['motor', 'doang']"
"PERTAMAX JUGA WOI , Vario gua brebet","['pertamax', 'woi', 'vario', 'gua', 'brebet']"
ini pelakunya😂😂😂,['laku']
habis kejadian ini kepikiran mulai cari² harga motor listrik,"['habis', 'jadi', 'pikir', 'cari', 'harga', 'motor', 'listrik']"
"bukan salah pom,,,
MEREKA HANYA MENJUAL,,,KEBIJAKAN OLEH MENTRI BILANG PAKAI ETANOL","['bukan', 'salah', 'pom', 'menjualkebijakan', 'tri', 'bilang', 'pakai', 'etanol']"
AKANKAH RUMAH BAHLIL MENJADI RUMAH SAHRONI PART 2?,"['rumah', 'bahlil', 'rumah', 'sahroni', 'part']"
pantes isi BBM ga boleh pake botol😂😂😂 takut ketauan😃😃😃,"['pantes', 'isi', 'bbm', 'tidak', 'pake', 'botol', 'takut', 'tau']"
Pelakunya lagi liburan 🗿,"['laku', 'libur']"
PK PRESIDEN TOLONG SEGRA COPOT BAHLIL,"['pk', 'presiden', 'tolong', 'segra', 'copot', 'bahlil']"
Step by step wd 55jt bilek🚀🥰📈,"['step', 'by', 'step', 'wd', 'jt', 'bilek']"
cung yg motornya brebet☝🏻😹,"['cung', 'motor', 'brebet']"
ini ada yg kudeta berarti mafia migas lagi atur rencana menjatuhkan pemerintahan 😂😂😂,"['kudeta', 'mafia', 'migas', 'atur', 'rencana', 'jatuh', 'perintah']"
"PAK PRABOWO ayo copot pak Bahlil masa masih dipertahanin,denger keluhan rakyat pak mohon pak prabowo🙏","['prabowo', 'ayo', 'copot', 'bahlil', 'dipertahanindenger', 'keluh', 'rakyat', 'mohon', 'prabowo']"
pertamina kalo sudah tidak mampu kasih kualitas mending ttup aja. biarkan shell bp vivo dan kawan2 yg mengambil alih[angry],"['pertamina', 'tidak', 'kasih', 'kualitas', 'mending', 'ttup', 'aja', 'biar', 'shell', 'bp', 'vivo', 'kawan', 'ambil', 'alihangry']"
bawa kerumah dirut pertamina dan bahlil,"['bawa', 'rumah', 'dirut', 'pertamina', 'bahlil']"
tangkap si bahlil,"['tangkap', 'si', 'bahlil']"
"BAHLIL
B= nya itu apa ....","['bahlil', 'b']"
cabut aja izin usaha pertamina yg nakal kasi denda,"['pergi', 'aja', 'izin', 'usaha', 'pertamina', 'nakal', 'kasi', 'denda']"
"kerjaan si Bahlil itu,,,","['kerja', 'si', 'bahlil']"
"pantasan motor ku brebet trus pembakaran nya gak bagus..
kasian kami yg uda gak punyak apa apa
kadang beli bensin aja pun susah kalau motor kami rusak bagai mana kami kerja dan beraktipitas ...
tolong kasihani kmi orng orang yg di bawah ini oleh orang orang yg rakus akn uang ..🥺","['pantas', 'motor', 'ku', 'brebet', 'trus', 'bakar', 'tidak', 'bagus', 'kasi', 'uda', 'tidak', 'punyak', 'kadang', 'beli', 'bensin', 'aja', 'susah', 'motor', 'rusak', 'kerja', 'beraktipitas', 'tolong', 'kasihan', 'kmi', 'orng', 'orang', 'orang', 'orang', 'rakus', 'akn', 'uang']"
mangkanya banyak mobil dan motor pada mogok dan rusak😏,"['mangkanya', 'mobil', 'motor', 'mogok', 'rusak']"
trus gmna solusinya jangan hanya sidak aja apak ini motor Uda pada ngadat...🥺,"['trus', 'gmna', 'solusi', 'jangan', 'sidak', 'aja', 'apak', 'motor', 'uda', 'ngadat']"
Rezekinya gw hari ini habis cair 88jt😳,"['rezeki', 'habis', 'cair', 'jt']"
motor temen gw berebet karna ulah bahlil,"['motor', 'temen', 'rebet', 'karna', 'ulah', 'bahlil']"
BAHLIL OHH BAHLIH.....merusak RAKYAT,"['bahlil', 'oh', 'bahlihmerusak', 'rakyat']"
"saatnya ganti pak menterinya,gak beres😅","['ganti', 'menterinyagak', 'beres']"
usut tuntas pa....penjarakan penljabat yg menyarankan pencampuran dgn etanol...,"['usut', 'tuntas', 'papenjarakan', 'penljabat', 'saran', 'campur', 'etanol']"
"iya motorku hbs di isi pertalite mlh ngeden"" di gas berat bgt 😭😭","['iya', 'motor', 'hbs', 'isi', 'pertalite', 'mlh', 'ngeden', 'gas', 'berat']"
bensin sudah oplosan seharusnya laporan tahunan pertamina untung gede ya? tp herannya koq masih rugi trilyunan. mirissssss 🗿🗿🗿🗿,"['bensin', 'oplos', 'lapor', 'tahun', 'pertamina', 'untung', 'gede', 'ya', 'heran', 'rugi', 'trilyunan', 'mirissssss']"
jgn salahkan spbu salah kan yg buat kebijakan,"['jangan', 'salah', 'spbu', 'salah', 'bijak']"
BAHLIL B NYA APA..??,"['bahlil', 'b']"
